[Sat Oct 19 15:26:51.968324 2019] [proxy_fcgi:error] [pid 1154:tid 140037760947968] [client 172.17.0.1:59458] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Sat Oct 19 15:26:51.982372 2019] [proxy_fcgi:error] [pid 1154:tid 140037760947968] (22)Invalid argument: [client 172.17.0.1:59458] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Sat Oct 19 15:27:33.067685 2019] [proxy_fcgi:error] [pid 1155:tid 140037966669568] [client 172.17.0.1:59614] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Sat Oct 19 15:27:33.067894 2019] [proxy_fcgi:error] [pid 1155:tid 140037966669568] (22)Invalid argument: [client 172.17.0.1:59614] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Sat Oct 19 15:27:56.199441 2019] [proxy_fcgi:error] [pid 1155:tid 140037819696896] [client 172.17.0.1:59662] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=80&action=edit
[Sat Oct 19 15:27:56.199643 2019] [proxy_fcgi:error] [pid 1155:tid 140037819696896] (22)Invalid argument: [client 172.17.0.1:59662] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=80&action=edit
[Sat Oct 19 15:37:02.157419 2019] [proxy_fcgi:error] [pid 1154:tid 140037819696896] [client 172.17.0.1:60610] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Sat Oct 19 15:37:02.157590 2019] [proxy_fcgi:error] [pid 1154:tid 140037819696896] (22)Invalid argument: [client 172.17.0.1:60610] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Sat Oct 19 15:40:38.781620 2019] [proxy_fcgi:error] [pid 1154:tid 140037802911488] [client 172.17.0.1:60938] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=80&action=edit
[Sat Oct 19 15:40:38.782184 2019] [proxy_fcgi:error] [pid 1154:tid 140037802911488] (22)Invalid argument: [client 172.17.0.1:60938] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=80&action=edit
[Sat Oct 19 16:40:17.401732 2019] [proxy_fcgi:error] [pid 1155:tid 140037836482304] [client 172.17.0.1:34292] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php
[Sat Oct 19 16:40:17.402013 2019] [proxy_fcgi:error] [pid 1155:tid 140037836482304] (22)Invalid argument: [client 172.17.0.1:34292] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php
[Sat Oct 19 17:10:00.101977 2019] [proxy_fcgi:error] [pid 1154:tid 140037844875008] [client 172.17.0.1:35088] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Sat Oct 19 17:10:00.102314 2019] [proxy_fcgi:error] [pid 1154:tid 140037844875008] (22)Invalid argument: [client 172.17.0.1:35088] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Sat Oct 19 17:12:21.842953 2019] [proxy_fcgi:error] [pid 1154:tid 140037828089600] [client 172.17.0.1:35548] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=80&action=edit
[Sat Oct 19 17:12:21.843217 2019] [proxy_fcgi:error] [pid 1154:tid 140037828089600] (22)Invalid argument: [client 172.17.0.1:35548] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=80&action=edit
[Sat Oct 19 17:12:58.997089 2019] [proxy_fcgi:error] [pid 1154:tid 140037836482304] [client 172.17.0.1:35672] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=80&action=edit
[Sat Oct 19 17:12:58.997455 2019] [proxy_fcgi:error] [pid 1154:tid 140037836482304] (22)Invalid argument: [client 172.17.0.1:35672] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=80&action=edit
[Sat Oct 19 17:14:46.153307 2019] [proxy_fcgi:error] [pid 1155:tid 140037802911488] [client 172.17.0.1:35868] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Sat Oct 19 17:14:46.154280 2019] [proxy_fcgi:error] [pid 1155:tid 140037802911488] (22)Invalid argument: [client 172.17.0.1:35868] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Sun Oct 20 14:39:19.834264 2019] [proxy_fcgi:error] [pid 1154:tid 140037718984448] [client 172.17.0.1:36294] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=80&action=edit
[Sun Oct 20 14:39:19.834537 2019] [proxy_fcgi:error] [pid 1154:tid 140037718984448] (22)Invalid argument: [client 172.17.0.1:36294] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=80&action=edit
